Column,VIF
age,5.700664956772175
number_of_dependants,2.730311672620212
years_at_current_address,3.4225771223614574
zipcode,3.797523599974199
sanction_amount,101.08655914371151
processing_fee,inf
gst,inf
net_disbursement,inf
loan_tenure_months,6.180519066251337
principal_outstanding,16.326471026619082
bank_balance_at_application,9.342169609856953
number_of_open_accounts,4.385917705550389
number_of_closed_accounts,2.384776092727701
enquiry_count,6.409798408970923
credit_utilization_ratio,2.9330455695754485
loan_to_income,6.962018551802637
delinquency_ratio,1.934818399116857
avg_dpd_per_delinquency,2.9086430803391696
